row_id,source_workbook,source_sheet,source_note,source_column,piano_key,target_hz,scale_notes,scale_hz,bore_id_in,bore_id_mm,wall_thickness_in,wall_thickness_mm,mouthpiece_in,mouthpiece_mm,slow_air_chamber_in,slow_air_chamber_mm,spacing_in,spacing_mm,long_chamber_in,long_chamber_mm,extra_length_in,extra_length_mm,flue_width_in,flue_width_mm,flue_depth_in,flue_depth_mm,sound_hole_length_in,sound_hole_length_mm,hole_diameters_in,hole_diameters_mm,hole_positions_from_foot_in,hole_positions_from_foot_mm,authority,notes
NAF-PUB-F4,design-table/flute-dimensions-parametric.xlsx,Low to High Range,F4,M,45,349.23,"Ab4;Bb4;C5;Db5;Eb5;F5","415.30;466.16;523.25;554.37;622.25;698.46",0.875,22.225,0.1875,4.762,2,50.800,3.5,88.900,0.75,19.050,17.030,432.562,2.5,63.500,0.4375,11.112,0.035,0.889,0.25,6.350,"0.37;0.41;0.46;0.32;0.35;0.33","9.398;10.414;11.684;8.128;8.890;8.382","4.638;6.032;7.418;8.878;9.979;11.019","117.805;153.213;188.417;225.501;253.467;279.883",public_workbook_extract_unvalidated,"Sanitized public extraction from the workbook row. Requires measured flute comparison before CAD/DXF or tuning authority."
NAF-PUB-A4,design-table/flute-dimensions-parametric.xlsx,Low to High Range,A4,Q,49,440.00,"C5;D5;E5;F5;G5;A5","523.25;587.33;659.26;698.46;783.99;880.00",0.75,19.050,0.1875,4.762,2,50.800,3,76.200,0.75,19.050,13.287,337.490,2.5,63.500,0.375,9.525,0.035,0.889,0.225,5.715,"0.37;0.41;0.46;0.32;0.35;0.33","9.398;10.414;11.684;8.128;8.890;8.382","3.560;4.681;5.784;6.899;7.781;8.607","90.424;118.897;146.914;175.235;197.637;218.618",public_workbook_extract_unvalidated,"Sanitized public extraction from the workbook row. A4 analysis artifacts use a different fixed-geometry simplification and do not replace this workbook row."
NAF-PUB-C5,design-table/flute-dimensions-parametric.xlsx,Low to High Range,C5,T,52,523.25,"Eb5;F5;G5;Ab5;Bb5;C6","622.25;698.46;783.99;830.61;932.33;1046.50",0.625,15.875,0.1875,4.762,2,50.800,2.5,63.500,0.75,19.050,11.233,285.318,2.5,63.500,0.3125,7.938,0.035,0.889,0.225,5.715,"0.33;0.35;0.38;0.30;0.32;0.30","8.382;8.890;9.652;7.620;8.128;7.620","2.951;3.935;4.882;5.687;6.462;7.163","74.955;99.949;124.003;144.450;164.135;181.940",public_workbook_extract_unvalidated,"Sanitized public extraction from the workbook row. Requires measured flute comparison before CAD/DXF or tuning authority."
